Names,Number of Reviews,Rating,Price Range,Borough,Location
Matsuri,171,4.5,2,Queens,Woodside
Don Tequila Urban Cantina,349,4.0,2,Queens,
The Cabin NYC,360,4.0,2,Queens,East Village
Mama Pio,49,4.0,2,Queens,
Varenyk House,3,4.5,4,Queens,
Sushi On Me,108,4.5,2,Queens,Elmhurst
Cha Menya,76,4.5,2,Queens,Douglaston
The Shady Lady,934,4.0,2,Queens,Astoria
The Coop,946,4.0,2,Queens,Downtown Flushing
Maxi’s Noodle,411,4.5,2,Queens,Downtown Flushing
Hashi Ramen & Izakaya,1135,4.0,2,Queens,Auburndale
Mama Pio,49,4.0,2,Queens,
Danubius Restaurant,10,5.0,2,Queens,
Mingmen BBQ,1,5.0,2,Queens,
Craft Culture,50,5.0,2,Queens,Ridgewood
Sik Gaek,585,4.0,2,Queens,Woodside
The Lowery Bar & Kitchen,282,4.5,2,Queens,Sunnyside
Tikka N Talk,78,4.5,2,Queens,Forest Hills
Izakaya Mew Flushing,260,4.0,2,Queens,Murray Hill
Mingmen BBQ,1,5.0,2,Queens,
Craft Culture,50,5.0,2,Queens,Ridgewood
Sik Gaek,585,4.0,2,Queens,Woodside
The Lowery Bar & Kitchen,282,4.5,2,Queens,Sunnyside
La Rotisserie du Coin,79,4.0,2,Queens,Forest Hills
Heat Caribbean Kitchen & Lounge,192,4.0,2,Queens,Ozone Park
Xin Taste Hand Pull Noodle,241,4.0,2,Queens,Forest Hills
Crab Du Jour - Ozone Park,72,4.5,2,Queens,
Pye Boat Noodle,890,4.5,2,Queens,Astoria
Izakaya Mew Flushing,260,4.0,2,Queens,Murray Hill
Sotto Le Stelle,296,4.5,2,Queens,Sunnyside
Vite Vinosteria,629,4.5,1,Queens,Astoria
The Shack 48,7,4.5,2,Queens,
Kape’t Torta,58,4.5,1,Queens,Elmhurst
Father Knows Best,369,4.0,2,Queens,Bushwick
Rincón Melania,106,4.5,2,Queens,Sunnyside
Nur Thai,597,4.0,2,Queens,Middle Village
C Restaurant and Lounge,38,4.5,2,Queens,Kew Gardens
American Brass On The Water,186,4.5,3,Queens,Hunters Point
Thai Mission,70,4.5,1,Queens,
Bee Cafe,57,4.5,2,Queens,Woodside
Matiz Latin Cuisine,329,4.0,2,Queens,Forest Hills
American Brass On The Water,186,4.5,3,Queens,Hunters Point
Thai Mission,70,4.5,1,Queens,
Bee Cafe,57,4.5,2,Queens,Woodside
Matiz Latin Cuisine,329,4.0,2,Queens,Forest Hills
Chachawan,16,4.5,2,Queens,
Chef Papa Vietnamese Kitchen,130,4.5,2,Queens,Auburndale
Ma Kin,109,4.5,2,Queens,
hanon,223,4.5,2,Queens,Williamsburg - North Side
PLAYDATE NYC,141,4.5,2,Queens,
Lhasa Tibetan Restaurant,16,4.5,2,Queens,Jackson Heights
El Mero Mero,118,4.5,2,Queens,Astoria
Umi Sushi,707,4.5,2,Queens,Hillcrest
Il Bambino,1253,4.5,2,Queens,Astoria
La Vecina,189,4.5,2,Queens,Astoria
Laly’s Restaurant,191,4.5,2,Queens,
A-Churrasqueira Restaurant & Bar,114,4.0,2,Queens,Jamaica
Concettina Restaurant,92,4.5,2,Queens,
Casa Del Chef Bistro,219,4.5,2,Queens,Woodside
The Four Horsemen,225,4.5,3,Queens,Williamsburg - South Side
R40,128,4.5,2,Queens,Hunters Point
Rolo’s,56,4.5,2,Queens,
Taco Azul,202,4.0,2,Queens,Beechurst
GUPJI,112,4.5,2,Queens,Murray Hill
O Lavrador,251,4.0,2,Queens,Jamaica
Coco Rooster 皇椰鸡,66,4.0,2,Queens,Queensborough Hill
Salt + Charcoal,603,4.0,2,Queens,Williamsburg - South Side
Newyorktitlan,169,5.0,2,Queens,Bushwick
Joe’s Home of Soup Dumplings,123,4.5,2,Queens,Midtown East
Heat Caribbean Kitchen & Lounge,192,4.0,2,Queens,Ozone Park
Tamashii Red,402,4.0,2,Queens,Forest Hills
Pho Metro,432,4.5,2,Queens,Downtown Flushing
Murasaki,240,4.5,2,Queens,Hunters Point
The Door,944,3.5,2,Queens,Rochdale
Saranrom Thai,69,4.5,2,Queens,Elmhurst
La Fusta Restaurant,285,4.0,2,Queens,Elmhurst
Burmese Bites,2,4.5,2,Queens,
Tikka Indian Grill,256,4.0,1,Queens,Richmond Hill
Ricas Pupusas & Mas,57,4.5,2,Queens,Sunnyside
Taste of Samarkand,148,4.5,2,Queens,Middle Village
Patrizia’s Of Maspeth,210,4.0,2,Queens,Maspeth
Kora,13,4.5,2,Queens,
El Toum,37,4.5,2,Queens,
The Thirsty Koala,1151,4.5,2,Queens,Astoria
Hot Peppers,394,4.5,1,Queens,Oakland Gardens
Mansion Supper Club,40,3.5,2,Queens,
Milkflower,695,4.0,2,Queens,Astoria
Boba Fries,89,4.5,2,Queens,Elmhurst
Boba Fries,89,4.5,1,Queens,Elmhurst
Arepa Lady,505,4.5,2,Queens,Jackson Heights
Burrito Republic,119,4.5,2,Queens,Ridgewood
Il Poeta,252,4.0,2,Queens,Forest Hills
Fresco’s Cantina,266,4.5,2,Queens,Astoria
Lahi,126,4.0,2,Queens,Elmhurst
Sabor De Cuba,385,4.0,2,Queens,Astoria
Birria-Landia,390,4.5,1,Queens,
Cafe Mogador,1244,4.5,2,Queens,Williamsburg - North Side
Chimama’s Noodle House,236,4.0,2,Queens,Bayside
Oda House,157,4.0,2,Queens,Upper East Side
Wiener Bar,2,5.0,2,Queens,
Arepa Lady,505,4.5,2,Queens,Jackson Heights
Mansion Supper Club,40,3.5,2,Queens,
Lahi,126,4.0,2,Queens,Elmhurst
Milkflower,695,4.0,1,Queens,Astoria
Hot Peppers,394,4.5,2,Queens,Oakland Gardens
Boba Fries,89,4.5,2,Queens,Elmhurst
Lobster Roll Factory,129,4.0,2,Queens,Downtown Flushing
Zabiha Burger & Fries,1,5.0,2,Queens,
Dashi - Brooklyn,58,4.5,2,Queens,East Williamsburg
Awang Kitchen,174,4.0,1,Queens,Elmhurst
Hong Kong Taste,86,4.0,2,Queens,Elmhurst
Prince Tea House,144,4.5,2,Queens,Forest Hills
Friendship Foods BBQ,303,4.0,2,Queens,Downtown Flushing
Gonzo’s,1,5.0,1,Queens,
The Waterfront NYC,37,4.0,2,Bronx,
Antonio’s Trattoria,884,4.5,2,Bronx,Belmont
Havana Cafe,879,4.0,2,Bronx,Schuylerville
Barrio BX,78,4.0,2,Bronx,
Zhongzhong Noodles - Bronx,22,5.0,2,Bronx,Belmont
Arties Steak & Seafood,284,4.0,2,Bronx,City Island
The Honey Well,280,4.5,2,Bronx,Harlem
Kai Sushi Asian Fusion,268,4.0,2,Bronx,Westchester Square
Beatstro,414,4.0,2,Bronx,Mott Haven
Arthur Ave Fiasco,112,4.5,2,Bronx,Belmont
The Rail House 10803,71,4.5,2,Bronx,
Jimmy’s Grand Cafe,347,3.5,2,Bronx,Castle Hill
Korean BBQ Grill,119,4.5,2,Bronx,
SOFRA - Traditional Greek & Albanian cuisine,48,4.5,2,Bronx,Morris Park
Nana’s Kitchen,27,4.5,2,Bronx,
Patricia’s,543,4.0,3,Bronx,Morris Park
Roberto’s,273,4.0,2,Bronx,Belmont
Zona De Cuba,632,3.5,3,Bronx,
Frida’s Tacos,77,4.5,2,Bronx,
San Gennaro Trattoria Restaurant Bar,192,4.0,2,Bronx,Belmont
ÇKA KA QËLLU,99,4.5,2,Bronx,Belmont
Bronx Drafthouse,219,4.0,3,Bronx,Concourse Village
Suyo Gastrofusion,224,4.5,2,Bronx,High Bridge
Da Franco & Tony Ristorante,107,4.5,2,Bronx,Country Club
Enzos of Arthur Avenue,314,4.0,2,Bronx,Belmont
Taqueria Tlaxcalli,671,4.5,2,Bronx,Parkchester
Kingsbridge Social Club,232,4.5,2,Bronx,Kingsbridge
Hudson Smokehouse,84,4.0,2,Bronx,
Clinton Hall,191,4.0,2,Bronx,Belmont
La Catrina Restaurant,9,4.5,2,Bronx,
Com Tam Ninh Kieu,463,4.0,2,Bronx,Bedford Park
Archie’s Tap & Table,97,4.5,2,Bronx,City Island
Fish N’ Ting,302,4.0,3,Bronx,Eastchester
Neem Indian Cuisine,54,4.0,3,Bronx,
Jake’s Steakhouse - Bronx,241,4.0,2,Bronx,Fieldston
The Last Stop,104,4.5,2,Bronx,Kingsbridge
Bronx Burger House,51,4.5,2,Bronx,North Riverdale
Orrico’s Italian Restaurant,42,4.5,2,Bronx,
Trattoria Tra di Noi,155,4.0,2,Bronx,Belmont
The Healthy Kitchen,97,4.0,2,Bronx,Morris Park
Tasty Choice,15,4.5,2,Bronx,
Tandoori Place,64,4.5,2,Bronx,Parkchester
Roc N Ramen,44,4.0,1,Bronx,Belmont
Tacos El Bronco II,161,4.5,2,Bronx,Pelham Gardens
Triple Deuce,14,4.5,2,Bronx,
The Highwater,457,4.0,2,Bronx,Astoria
Oasis Mediterranean Restaurant,40,4.0,2,Bronx,
Tana Thai,207,3.0,2,Bronx,
Ikko Hibachi Sushi Asian Bistro,97,4.0,2,Bronx,
Mr Chopped Cheese & Grill,3,4.5,4,Bronx,
Native Noodles,96,4.5,1,Bronx,Washington Heights
The Japanese Pop-Up Restaurant,2,5.0,2,Bronx,
Rao’s,187,4.5,2,Bronx,East Harlem
Arroz Restaurant,4,4.5,3,Bronx,
Rosa’s At Park,5,4.0,2,Bronx,
City Island Lobster House,658,3.5,2,Bronx,City Island
Enzo’s Of Williamsbridge,136,4.0,2,Bronx,Morris Park
Sergio’s Sawpit Portchester,38,4.5,2,Bronx,
La Nueva Win Hing Restaurant,25,4.0,2,Bronx,Concourse
KAL,208,4.5,2,Bronx,Astoria
Tana Thai,207,3.0,2,Bronx,
Roc N Ramen,44,4.0,2,Bronx,Belmont
Barcha,48,4.5,2,Bronx,
Triple Deuce,14,4.5,2,Bronx,
Hudson Garden Grill,174,4.0,2,Bronx,
Porto Salvo,160,4.5,2,Bronx,Melrose
Mr Chopped Cheese & Grill,3,4.5,2,Bronx,
Cocina Chente,201,4.0,2,Bronx,Riverdale
The Handpulled Noodle,969,4.0,2,Bronx,Harlem
Room 4996,27,5.0,2,Bronx,
F & J Pine Restaurant,595,3.5,2,Bronx,Van Nest
Los Nisperos,53,4.5,2,Bronx,Mott Haven
House Of Flava’,33,4.0,2,Bronx,
Cafe Colonial Restaurant & Grill,145,3.0,2,Bronx,Morris Park
Accra Restaurant,137,4.0,2,Bronx,Harlem
Joe’s Home of Soup Dumplings,123,4.5,2,Bronx,Midtown East
The Way Cafe,19,5.0,2,Bronx,
The Freakin Rican Restaurant,285,4.5,2,Bronx,Astoria
Tampopo Ramen,438,4.0,2,Bronx,Washington Heights
Golden Corral,36,2.5,1,Bronx,
Casa Birria NYC,53,5.0,2,Bronx,Yorkville
Chalanas,71,4.0,1,Bronx,
Estrellita Poblana II,131,3.5,2,Bronx,Pelham Gardens
Tessey’s International Kitchen,17,3.5,2,Bronx,
Cafe Colonial Restaurant & Grill,145,3.0,2,Bronx,Morris Park
Flavas International Grill,145,4.0,2,Bronx,Concourse Village
La Shuk,395,4.5,2,Bronx,East Harlem
House Of Flava’,33,4.0,2,Bronx,
Pio Pio 4,205,3.5,1,Bronx,Mott Haven
Mingles Express Grill,34,4.5,2,Bronx,
Chalanas,71,4.0,1,Bronx,
Ez Grill NYC,141,4.0,1,Bronx,Pelham Gardens
Chinelos Tacos NYC,6,3.5,2,Bronx,
Aman,35,4.5,2,Bronx,Norwood
Milk Burger,125,4.0,2,Bronx,Mott Haven
The Original Crab Shanty Restaurant,793,3.5,2,Bronx,City Island
Aoyu Sushi,261,4.5,2,Bronx,Riverdale
George’s Diner & Cafe,217,4.0,1,Bronx,Westchester Square
Hungry Bird,218,4.5,2,Bronx,Concourse
Feroza’s,112,4.0,1,Bronx,Pelham Gardens
Pugsley’s Pizza,171,4.5,1,Bronx,Belmont
Carl’s Steaks,10,4.0,1,Bronx,High Bridge
Vietnam’s Central,289,4.5,2,Bronx,
Oaxaqueño Restaurant,1,5.0,2,Bronx,
Bread & Brine,154,4.0,1,Bronx,
Clay Pot - West Village,115,4.5,2,Bronx,West Village
Bobos Crab Shack - Coop City,19,3.5,2,Bronx,Co-op City
MAiSONETTA,30,5.0,2,Bronx,
The Pandering Pig,125,4.0,2,Bronx,Washington Heights
El Pabellon De Oro,47,4.0,1,Bronx,Soundview
Caliente’s,7,4.0,2,Bronx,
B,5,4.0,2,Bronx,Claremont Village
Jimmys On The Go,15,4.5,1,Bronx,
Lechonera La Piraña,36,5.0,2,Bronx,Mott Haven
Terravita,249,4.5,2,Bronx,Washington Heights
Flavas International Grill,145,4.0,2,Bronx,Concourse Village
Havana Heights,61,3.5,2,Bronx,Washington Heights
The Dumplin Cove,72,3.0,2,Bronx,Baychester
Roc N Ramen,687,4.0,2,Bronx,
Ginger and Lemongrass,855,4.0,2,Bronx,Beechurst
Caliente’s,7,4.0,1,Bronx,
B,5,4.0,2,Bronx,Claremont Village
Vietnam’s Central,289,4.5,2,Bronx,
Go Nonna,116,4.5,1,Bronx,Long Island City
Jimmys On The Go,15,4.5,2,Bronx,
Lechonera La Piraña,36,5.0,2,Bronx,Mott Haven
Terravita,249,4.5,2,Bronx,Washington Heights
Flavas International Grill,145,4.0,2,Bronx,Concourse Village
Estrellita Poblana,280,4.0,2,Bronx,Unionport
Healthy Fresh,100,4.5,1,Bronx,Morris Park
Divino Cucina Italiana,92,4.5,3,Bronx,
La Barca Restaurant,72,4.0,1,Bronx,Washington Heights
Sabor Latino Seafood Restaurant,43,4.0,2,Bronx,Parkchester
Monte’s Brick Oven,163,4.0,2,Bronx,Mott Haven
Saigon Market,4,4.0,2,Bronx,
GoGo-Gi,193,4.0,2,Bronx,Washington Heights
Shanghai Red Asian Latin Bistro,124,3.5,2,Bronx,Westchester Square
Spice Up,8,5.0,2,Bronx,
Saigon Market,4,4.0,2,Bronx,
GoGo-Gi,193,4.0,2,Bronx,Washington Heights
Shanghai Red Asian Latin Bistro,124,3.5,1,Bronx,Westchester Square
Otis,391,5.0,2,Bronx,East Williamsburg
Happy Land Buffet,15,4.0,2,Bronx,Mount Hope
Xochimilco Family Restaurant,109,4.5,2,Bronx,Melrose
Guadalupe Restaurant,686,4.0,1,Bronx,Inwood
Emilio’s of Morris Park,186,4.0,2,Bronx,Morris Park
Ginger and Lemongrass,855,4.0,2,Bronx,Beechurst
7 Spices Carribean Restaurant,23,4.5,2,Bronx,Olinville
The Brunch Box,2,5.0,2,Bronx,
Shamrock Inn,25,4.5,2,Bronx,Pelham Bay
Hapag Filipino Cuisine,103,4.0,2,Bronx,
Crab Du Jour,29,4.0,2,Bronx,
Bangkok City,166,4.0,2,Bronx,
Saigon Market,4,4.0,1,Bronx,
Keane’s Bar and Restaurant,12,5.0,2,Bronx,
Monte’s Brick Oven,163,4.0,2,Bronx,Mott Haven
Spice Up,8,5.0,3,Bronx,
GoGo-Gi,193,4.0,1,Bronx,Washington Heights
Jimmys On The Go,15,4.5,2,Bronx,
Moon Thai Kitchen,44,4.0,2,Bronx,
Casa Della Mozzarella Italian Deli,199,4.5,1,Bronx,Belmont
Oche A Tu Gusto,12,5.0,3,Bronx,Washington Heights
X20 on the Hudson,842,4.0,1,Bronx,
Harlem Biscuit Company,89,4.5,1,Bronx,
Santa Clarita,22,5.0,2,Bronx,Mott Haven
Balimaya,6,4.5,2,Bronx,Mott Haven
Xochimilco Family Restaurant,109,4.5,2,Bronx,Melrose
Otis,391,5.0,2,Bronx,East Williamsburg
Guadalupe Restaurant,686,4.0,2,Bronx,Inwood
Crab Du Jour,29,4.0,2,Bronx,
Amy Ruth’s,2747,4.0,2,Bronx,Harlem
Arthur Avenue,10,5.0,2,Bronx,
El Salvadoreño,18,4.0,1,Bronx,West Farms
Blue Mountain Heights Cafe & Bar,59,4.0,2,Bronx,Washington Heights
Pasquale Rigoletto Restaurant,184,3.5,2,Bronx,Belmont
Bangkok City,166,4.0,2,Bronx,
Mr,92,3.5,2,Bronx,Pelham Gardens
Picante Picante,170,4.0,2,Bronx,
Fine Food Cuisine,96,4.0,2,Bronx,West Farms
Chirping Chicken,49,3.5,2,Bronx,Pelham Bay
The Grill House,28,3.5,1,Bronx,Van Nest
Bognan International West African Restaurant,24,4.0,1,Bronx,Morrisania
Vitalia Restaurant,13,4.5,2,Staten Island,
The Richmond,151,4.5,2,Staten Island,
Taverna On The Bay,141,4.5,2,Staten Island,Stapleton
99 Favor Taste,175,4.5,2,Staten Island,New Dorp
The KOVA,132,4.5,2,Staten Island,Grant City
Dolce Fantasia,99,5.0,2,Staten Island,Westerleigh
Miyabi Asian Fusion,368,4.5,3,Staten Island,Westerleigh
West Shore Inn Steakhouse,298,4.0,2,Staten Island,Chelsea
Chang Noi Thai,186,4.5,2,Staten Island,St. George
Wynwood,44,4.0,2,Staten Island,
Lobzter Seafood Restaurant,5,5.0,2,Staten Island,
Violette’s Cellar,297,4.0,3,Staten Island,Grant City
Laila,161,4.5,2,Staten Island,
Pastavino,46,4.5,2,Staten Island,
Grand Sahara Mediterranean Grill,74,4.0,2,Staten Island,Dongan Hills
Incas Grill Peruvian kitchen,287,4.0,2,Staten Island,Grant City
Tommy’s Tavern + Tap,337,4.0,2,Staten Island,Heartland Village
Osteria Santina,11,4.5,3,Staten Island,
Campania Coal Fired Pizza,45,4.0,2,Staten Island,Dongan Hills
La Petite Corniche,1,5.0,2,Staten Island,
Banhmigos,64,4.5,3,Staten Island,
The Stone House at Clove Lakes,244,3.5,2,Staten Island,
Banh Mi House,18,4.0,3,Staten Island,
Precious Island Dim Sum,168,4.0,2,Staten Island,New Dorp
Ohkami Ramen,4,4.5,2,Staten Island,
Patrizia’s of Staten Island,606,4.0,3,Staten Island,Great Kills
Hong Kong Kei One,104,4.5,1,Staten Island,Great Kills
Taqueria Mexican Restaurant,9,4.0,2,Staten Island,
Pokébowl Station,7,4.5,2,Staten Island,
Coles Dockside Restaurant,143,4.0,2,Staten Island,Great Kills
Sakana Sushi & Hibachi Steakhouse,35,4.0,3,Staten Island,Dongan Hills
Campania Coal Fired Pizza,236,4.0,2,Staten Island,Eltingville
Deluca’s Italian Restaurant,198,4.5,2,Staten Island,Tottenville
Ungaro Coal Fired Pizza Cafe,33,4.5,2,Staten Island,Westerleigh
Luce,13,4.0,2,Staten Island,
Ono Korean Barbeque,114,4.5,2,Staten Island,
Richmond Republic,231,3.5,1,Staten Island,
Noodlefan,157,4.0,2,Staten Island,
Pho Rainbow II,172,4.0,2,Staten Island,New Dorp
Clinton Hall - Temp,2,4.5,2,Staten Island,
KPOT Korean BBQ & Hot Pot,198,4.0,2,Staten Island,
The Butter Chicken Factory,32,4.5,1,Staten Island,
Bao Dumplings & Bao Tea 寶餃寶茶,49,4.5,2,Staten Island,
Empanada Kingdom,35,4.5,2,Staten Island,
Urban Griddle,1419,4.5,2,Staten Island,
Twisted Vineyard,12,4.5,2,Staten Island,Stapleton
Basilio Inn,117,4.5,2,Staten Island,Arrochar
Awesum Dimsum,253,4.5,2,Staten Island,Gramercy
Lakruwana Restaurant,355,4.5,2,Staten Island,Stapleton
Lee’s Tavern,535,4.5,2,Staten Island,Dongan Hills
Yolpaqui Taqueria,119,4.0,2,Staten Island,
Casa d’Paco,777,4.5,2,Staten Island,
The Hop Shoppe,309,4.0,2,Staten Island,Stapleton
Ho’Brah a Taco Joint,35,4.0,2,Staten Island,
Bayou,397,4.0,2,Staten Island,Clifton
Ronnie’s Sandwich Shoppe,48,4.5,2,Staten Island,
Phil-Am Kusina,152,4.5,2,Staten Island,Rosebank
Sabor Peruano,208,4.5,3,Staten Island,
Ruddy and Dean,122,4.0,1,Staten Island,St. George
The Mustard Seed,41,4.5,2,Staten Island,West Brighton
Lil M Bubble Tea,6,4.5,1,Staten Island,
Campania Coal Fired Pizza,577,4.5,2,Staten Island,Fort Hamilton
Kuun,115,4.5,2,Staten Island,
Estuary,55,4.0,2,Staten Island,
Lacey’s Bridge Tavern,135,4.5,2,Staten Island,Elm Park
Waterside,59,3.5,2,Staten Island,
Levant on Smith,14,5.0,2,Staten Island,
Pinwheel Garden Dumpling & Noodle Bar,313,4.5,1,Staten Island,
Beans and Leaves,335,4.5,1,Staten Island,West Brighton
Giuliana’s,121,4.0,2,Staten Island,Great Kills
Mexican cantina,43,4.0,2,Staten Island,
FEED YA SOUL,31,4.5,2,Staten Island,
Wonderland,11,4.5,3,Staten Island,
Royal Crown Bakery,498,4.0,2,Staten Island,Old Town
Drew’s Bayshore Bistro,379,4.5,3,Staten Island,
Js On The Bay,218,4.0,2,Staten Island,Shore Acres
MERCADO ARIANA,23,4.0,2,Staten Island,
Ralphs Sports Bar,25,4.5,2,Staten Island,
Jodys Club Forest,40,4.5,2,Staten Island,West Brighton
Ejen Korean Comfort Food,57,4.5,2,Staten Island,Sunset Park
Taheni Mediterranean Grill,2,5.0,2,Staten Island,
Jerk Shack Caribbean Food Truck,20,5.0,2,Staten Island,
Enoteca Maria,390,4.0,3,Staten Island,
The Local,20,4.0,2,Staten Island,Westerleigh
KB’s BBQ Smokehouse,217,4.0,2,Staten Island,
Luke’s Lobster FiDi,1190,4.5,2,Staten Island,Financial District
Zara Cafe Grill,169,4.0,2,Staten Island,Grant City
Sushi Wen,42,5.0,2,Staten Island,West Brighton
Taqueria El Gallo Azteca,126,4.5,1,Staten Island,
Mama’s Noodle House,117,4.5,1,Staten Island,Bensonhurst
Cellar 335,580,4.5,2,Staten Island,
Mezcals Mexican Restaurant,114,3.5,2,Staten Island,
Angelina’s Kitchen,246,3.5,2,Staten Island,Heartland Village
494 Chicken,53,4.0,1,Staten Island,Chelsea
Bayonne Batter,21,4.5,3,Staten Island,
Fernandes Steak House,664,4.0,2,Staten Island,
Sama Street,133,5.0,3,Staten Island,Greenpoint
"Lorenzo’s Restaurant, Bar & Cabaret",86,3.0,2,Staten Island,
Drita’s homemade,1,5.0,2,Staten Island,
Millburn Standard,108,4.5,1,Staten Island,
Kong Sihk Tong 港食堂,395,4.0,3,Staten Island,Chinatown
Da Noi Restaurant on Victory Blvd,71,4.0,2,Staten Island,Chelsea
Rinconcito Paisa,133,3.5,2,Staten Island,Graniteville
Holy Schnitzel,84,3.5,2,Staten Island,Heartland Village
Aunt Butchies of Brooklyn,161,4.0,2,Staten Island,
Lobster House Joe’s,218,3.5,2,Staten Island,Grant City
Maizal Restaurant,265,4.0,3,Staten Island,Clifton
YUBU,125,4.5,1,Staten Island,East Village
The Yard - Newark,22,5.0,2,Staten Island,
Maynila,10,3.5,1,Staten Island,New Springville
Raku,570,4.5,2,Staten Island,South Village
Raku,1242,4.5,2,Staten Island,East Village
Dry Dock Bistro,7,4.0,1,Staten Island,
Recette,11,5.0,2,Staten Island,
Franklin Social,66,4.0,3,Staten Island,
Hudson & Co,530,4.0,2,Staten Island,
The Kettle Black,120,3.5,2,Staten Island,West Brighton
Beyond the Sea Fish Market and Take Out,12,4.5,2,Staten Island,
Fiore Di Mare,58,3.5,2,Staten Island,Great Kills
White Maize,221,4.5,2,Staten Island,Gowanus
Baci Restaurante,75,3.0,2,Staten Island,
La Iguana Azul,101,4.0,2,Staten Island,Great Kills
Pier 76,217,4.0,2,Staten Island,
Cha Cha Cha Cuban Cafe,239,4.5,2,Staten Island,
Ramen Danbo,347,4.5,2,Staten Island,Park Slope
Popina,76,4.5,2,Staten Island,Columbia Street Waterfront District
The Brooklyn Tree,186,4.5,2,Staten Island,East Williamsburg
Madre,101,4.5,3,Staten Island,Greenpoint
Momofuku Ssam Bar,52,4.0,3,Staten Island,South Street Seaport
Liu’s Shanghai,411,4.5,2,Staten Island,Bath Beach
Fork It,30,4.5,2,Staten Island,
Filoncino,145,3.5,2,Staten Island,Eltingville
Kimchi Kooks Kate’s Kitchen,13,4.5,3,Staten Island,
Omakase Sushi By Hiro,30,4.5,2,Staten Island,
Hook & Reel Cajun Seafood & Bar,98,4.0,2,Staten Island,Graniteville
Forma Pasta Factory,349,4.5,2,Staten Island,Greenpoint
Portuguese Cuisine Bar and Wine,25,4.5,2,Staten Island,
Breakroom,1620,4.5,2,Staten Island,Chinatown
Canlon’s Restaurant,79,4.0,2,Staten Island,Oakwood
Rumba Cubana,408,4.5,2,Staten Island,
Woori Korean,33,5.0,2,Staten Island,
Shake Shack,90,4.0,2,Staten Island,Heartland Village
Slow Loris,135,4.5,2,Staten Island,Prospect Lefferts Gardens
Deninos Pizzeria & Tavern,795,4.0,2,Staten Island,Elm Park
Renato’s Pastry And Trattoria Vento,1,5.0,2,Staten Island,
Caido del Cielo,2,5.0,2,Staten Island,
Ugly Baby,365,4.5,2,Staten Island,Carroll Gardens
Takorea BBQ,357,4.0,2,Staten Island,
8th Hot Pot,4,4.0,2,Staten Island,
Jacks Lobster Shack,37,4.0,2,Staten Island,
Grindhaus,103,4.5,2,Staten Island,Red Hook
Haenyeo,186,4.0,2,Staten Island,
Takorea BBQ,357,4.0,1,Staten Island,
Caido del Cielo,2,5.0,2,Staten Island,
Like Cafe,202,3.5,1,Staten Island,Bensonhurst
Mr Bun,246,4.0,1,Staten Island,Bath Beach
South Fin Grill,282,3.0,3,Staten Island,
Jacks Lobster Shack,37,4.0,2,Staten Island,
LoveMama,5656,4.5,3,Staten Island,East Village
ACRE,24,4.5,3,Staten Island,
Nami Nori,407,4.5,2,Staten Island,West Village
G&G American Grill,16,4.5,2,Staten Island,
Panini Grill,209,3.5,2,Staten Island,West Brighton
United States Coast Guard Galley,5,4.5,2,Staten Island,
Jayhan’s Grill,35,4.0,2,Staten Island,
The ‘World Famous’ Waiting Room,208,4.0,2,Staten Island,
Tanoshii Ramen,125,4.5,2,Staten Island,Bay Ridge
Local 244,2,5.0,2,Staten Island,
